App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00216,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00216,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00216,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00217,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00217,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00217,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00218,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00218,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00218,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-00219,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Property Owner,,,Non-profit Corporation (incl. Church-related),Yes,Henry Mayo Newhall Hospital,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Henry Mayo Newhall Hospital,Henry Mayo Newhall Hospital
