App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01707,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),Missed Milestone(s),,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01707,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),Missed Milestone(s),Completed,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-01707,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),Missed Milestone(s),Not Started,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02792,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02792,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02792,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02793,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-02793,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-07038,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-07038,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Permanente Foundation,Non-profit Corporation (incl. Church-related),,Not Started,Non-profit Corporation (incl. Church-related),Kaiser Permanente Foundation,Kaiser Permanente Foundation
