App Status,Application Status,Approval Status,blank,Building No.,Compliance Type (Reported by Hosptial),Corr Infrastructure,Corr Licensee Type,Corr Organization,Financial,Infrastructure,Licensee,Licensee Type,Orginization,Owner Name,Ownership,Progress,Status,What type of entity manages this hospital? ,Who is financially responsible for the seismic upgrades?,Who manages the hospital? 
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03831,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Foundation Hospital,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Kaiser Foundation Hospital,Kaiser Foundation Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03831,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Foundation Hospital,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Kaiser Foundation Hospital,Kaiser Foundation Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03902,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Foundation Hospital,Non-profit Corporation (incl. Church-related),,,Non-profit Corporation (incl. Church-related),Kaiser Foundation Hospital,Kaiser Foundation Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03902,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Foundation Hospital,Non-profit Corporation (incl. Church-related),,Completed,Non-profit Corporation (incl. Church-related),Kaiser Foundation Hospital,Kaiser Foundation Hospital
Compliance Plan has been Finalized.,Approved,Compliance Plan has been Finalized., ,BLD-03902,NPC Retrofit,None,Non-profit Corporation (incl. Church-related),,Managing Organization/Licensee,,,Non-profit Corporation (incl. Church-related),Yes,Kaiser Foundation Hospital,Non-profit Corporation (incl. Church-related),,In Progress,Non-profit Corporation (incl. Church-related),Kaiser Foundation Hospital,Kaiser Foundation Hospital
